ratio: 内存被购买比例
ram_price: 内存价格，单位：EOS/KB
eos_balance: eosio.ram 账户余额
ram_bought: 被购买的内存数量，单位：字节

ratio	ram_price	eos_balance	ram_bought
93.97%	4.1124	15583744	64575692286
93.96%	4.0960	15556287	64568820339
93.95%	4.0797	15528922	64561948391
93.94%	4.0635	15501646	64555076443
93.93%	4.0474	15474461	64548204495
93.92%	4.0474	15447364	64541332548
93.91%	4.0315	15420357	64534460600
93.90%	4.0157	15393439	64527588652
93.89%	4.0000	15366608	64520716705
93.88%	3.9844	15339865	64513844757
93.87%	3.9690	15313210	64506972809
93.86%	3.9690	15286641	64500100862
93.85%	3.9537	15260159	64493228914
93.84%	3.9385	15233762	64486356966
93.83%	3.9234	15207451	64479485019
93.82%	3.9084	15181226	64472613071
93.81%	3.8935	15155085	64465741123
93.80%	3.8788	15129028	64458869176
93.79%	3.8788	15103056	64451997228
93.78%	3.8642	15077166	64445125280
93.77%	3.8496	15051360	64438253333
93.76%	3.8352	15025637	64431381385
93.75%	3.8209	14999996	64424509437
93.74%	3.8067	14974437	64417637490
93.73%	3.7926	14948959	64410765542
93.72%	3.7926	14923563	64403893594
93.71%	3.7786	14898247	64397021647
93.70%	3.7647	14873012	64390149699
93.69%	3.7509	14847856	64383277751
93.68%	3.7372	14822781	64376405804
93.67%	3.7236	14797784	64369533856
93.66%	3.7101	14772867	64362661908
93.65%	3.6968	14748027	64355789961
93.64%	3.6968	14723266	64348918013
93.63%	3.6835	14698583	64342046065
93.62%	3.6703	14673977	64335174118
93.61%	3.6571	14649448	64328302170
93.60%	3.6441	14624996	64321430222
93.59%	3.6312	14600620	64314558275
93.58%	3.6184	14576320	64307686327
93.57%	3.6056	14552095	64300814379
93.56%	3.6056	14527946	64293942432
93.55%	3.5930	14503872	64287070484
93.54%	3.5804	14479872	64280198536
93.53%	3.5679	14455946	64273326589
93.52%	3.5556	14432095	64266454641
93.51%	3.5433	14408316	64259582693
93.50%	3.5310	14384611	64252710746
93.49%	3.5189	14360979	64245838798
93.48%	3.5068	14337419	64238966850
93.47%	3.5068	14313932	64232094902
93.46%	3.4949	14290516	64225222955
93.45%	3.4830	14267171	64218351007
93.44%	3.4712	14243898	64211479059
93.43%	3.4595	14220696	64204607112
93.42%	3.4478	14197564	64197735164
93.41%	3.4362	14174503	64190863216
93.40%	3.4247	14151511	64183991269
93.39%	3.4133	14128589	64177119321
93.38%	3.4020	14105736	64170247373
93.37%	3.4020	14082952	64163375426
93.36%	3.3907	14060237	64156503478
93.35%	3.3795	14037590	64149631530
93.34%	3.3684	14015011	64142759583
93.33%	3.3574	13992500	64135887635
93.32%	3.3464	13970056	64129015687
93.31%	3.3355	13947679	64122143740
93.30%	3.3247	13925369	64115271792
93.29%	3.3139	13903125	64108399844
93.28%	3.3032	13880948	64101527897
93.27%	3.2926	13858837	64094655949
93.26%	3.2821	13836791	64087784001
93.25%	3.2716	13814811	64080912054
93.24%	3.2716	13792895	64074040106
93.23%	3.2611	13771044	64067168158
93.22%	3.2508	13749258	64060296211
93.21%	3.2405	13727536	64053424263
93.20%	3.2303	13705878	64046552315
93.19%	3.2201	13684284	64039680368
93.18%	3.2100	13662752	64032808420
93.17%	3.2000	13641284	64025936472
93.16%	3.1900	13619879	64019064525
93.15%	3.1801	13598536	64012192577
93.14%	3.1703	13577255	64005320629
93.13%	3.1605	13556036	63998448682
93.12%	3.1508	13534879	63991576734
93.11%	3.1411	13513784	63984704786
93.10%	3.1315	13492749	63977832839
93.09%	3.1220	13471776	63970960891
93.08%	3.1220	13450863	63964088943
93.07%	3.1125	13430010	63957216996
93.06%	3.1030	13409218	63950345048
93.05%	3.0937	13388485	63943473100
93.04%	3.0843	13367812	63936601153
93.03%	3.0751	13347198	63929729205
93.02%	3.0659	13326643	63922857257
93.01%	3.0567	13306147	63915985310
93.00%	3.0476	13285710	63909113362
92.99%	3.0386	13265331	63902241414
92.98%	3.0296	13245010	63895369466
92.97%	3.0206	13224747	63888497519
92.96%	3.0118	13204541	63881625571
92.95%	3.0029	13184393	63874753623
92.94%	2.9942	13164302	63867881676
92.93%	2.9854	13144267	63861009728
92.92%	2.9767	13124289	63854137780
92.91%	2.9681	13104368	63847265833
92.90%	2.9595	13084503	63840393885
92.89%	2.9510	13064693	63833521937
92.88%	2.9425	13044939	63826649990
92.87%	2.9341	13025241	63819778042
92.86%	2.9257	13005598	63812906094
92.85%	2.9174	12986010	63806034147
92.84%	2.9091	12966476	63799162199
92.83%	2.9008	12946997	63792290251
92.82%	2.8927	12927572	63785418304
92.81%	2.8845	12908201	63778546356
92.80%	2.8764	12888884	63771674408
92.79%	2.8683	12869621	63764802461
92.78%	2.8603	12850411	63757930513
92.77%	2.8524	12831254	63751058565
92.76%	2.8444	12812150	63744186618
92.75%	2.8366	12793099	63737314670
92.74%	2.8287	12774100	63730442722
92.73%	2.8209	12755154	63723570775
92.72%	2.8132	12736259	63716698827
92.71%	2.8055	12717417	63709826879
92.70%	2.7978	12698626	63702954932
92.69%	2.7902	12679886	63696082984
92.68%	2.7826	12661198	63689211036
92.67%	2.7751	12642560	63682339089
92.66%	2.7676	12623974	63675467141
92.65%	2.7601	12605438	63668595193
92.64%	2.7527	12586952	63661723246
92.63%	2.7453	12568517	63654851298
92.62%	2.7380	12550131	63647979350
92.61%	2.7307	12531795	63641107403
92.60%	2.7234	12513509	63634235455
92.59%	2.7162	12495272	63627363507
92.58%	2.7090	12477084	63620491560
92.57%	2.7018	12458946	63613619612
92.56%	2.6947	12440856	63606747664
92.55%	2.6877	12422814	63599875717
92.54%	2.6806	12404821	63593003769
92.53%	2.6736	12386876	63586131821
92.52%	2.6667	12368979	63579259874
92.51%	2.6597	12351130	63572387926
92.50%	2.6528	12333329	63565515978
92.49%	2.6460	12315575	63558644030
92.48%	2.6392	12297868	63551772083
92.47%	2.6324	12280208	63544900135
92.46%	2.6256	12262595	63538028187
92.45%	2.6189	12245029	63531156240
92.44%	2.6122	12227509	63524284292
92.43%	2.6056	12210035	63517412344
92.42%	2.5990	12192608	63510540397
92.41%	2.5924	12175226	63503668449
92.40%	2.5859	12157890	63496796501
92.39%	2.5793	12140600	63489924554
92.38%	2.5729	12123355	63483052606
92.37%	2.5664	12106155	63476180658
92.36%	2.5536	12089001	63469308711
92.35%	2.5473	12071891	63462436763
92.34%	2.5409	12054826	63455564815
92.33%	2.5347	12037805	63448692868
92.32%	2.5284	12020829	63441820920
92.31%	2.5222	12003897	63434948972
92.30%	2.5160	11987008	63428077025
92.29%	2.5098	11970164	63421205077
92.28%	2.5037	11953363	63414333129
92.27%	2.4976	11936606	63407461182
92.26%	2.4915	11919892	63400589234
92.25%	2.4854	11903221	63393717286
92.24%	2.4794	11886593	63386845339
92.23%	2.4734	11870008	63379973391
92.22%	2.4675	11853466	63373101443
92.21%	2.4615	11836966	63366229496
92.20%	2.4556	11820508	63359357548
92.19%	2.4439	11804093	63352485600
92.18%	2.4381	11787719	63345613653
92.17%	2.4323	11771387	63338741705
92.16%	2.4265	11755097	63331869757
92.15%	2.4208	11738849	63324997810
92.14%	2.4151	11722642	63318125862
92.13%	2.4094	11706476	63311253914
92.12%	2.4038	11690351	63304381967
92.11%	2.3981	11674267	63297510019
92.10%	2.3925	11658223	63290638071
92.09%	2.3869	11642220	63283766124
92.08%	2.3814	11626258	63276894176
92.07%	2.3704	11610336	63270022228
92.06%	2.3649	11594454	63263150281
92.05%	2.3594	11578612	63256278333
92.04%	2.3540	11562809	63249406385
92.03%	2.3486	11547047	63242534438
92.02%	2.3432	11531324	63235662490
92.01%	2.3379	11515640	63228790542
92.00%	2.3326	11499995	63221918594
91.99%	2.3273	11484390	63215046647
